Compound,001_SMC_IIRN_p3s1_CD,002_SMC_IIRN_p3s2_CD,003_SMC_IIRN_p3s3_CD,004_SMC_IIRN_p3s4_CD,005_SMC_IIRN_p4s1_CD,006_SMC_IIRN_p4s2_CD,007_SMC_IIRN_p4s3_CD,008_SMC_IIRN_p4s4_CD,009_SMC_IIRN_p5s1_CD,010_SMC_IIRN_p5s2_CD,011_SMC_IIRN_p5s3_CD,012_SMC_IIRN_p5s4_CD,013_SMC_IIRN_p8s1_CD,014_SMC_IIRN_p8s2_CD,015_SMC_IIRN_p8s3_CD,016_SMC_IIRN_p8s4_CD,017_SMC_IIRN_p9s1_CD,018_SMC_IIRN_p9s2_CD,019_SMC_IIRN_p9s3_CD,020_SMC_IIRN_p9s4_CD,021_SMC_IIRN_p10s1_CD,022_SMC_IIRN_p10s2_CD,023_SMC_IIRN_p10s3_CD,024_SMC_IIRN_p10s4_CD,025_SMC_IIRN_p11s1_CD,026_SMC_IIRN_p11s2_CD,027_SMC_IIRN_p11s3_CD,028_SMC_IIRN_p11s4_CD,029_SMC_IIRN_p12s1_CD,030_SMC_IIRN_p12s2_CD,031_SMC_IIRN_p12s3_CD,032_SMC_IIRN_p12s4_CD,033_SMC_IIRN_p12s5_CD,034_SMC_IIRN_p13s1_CD,035_SMC_IIRN_p13s2_CD,036_SMC_IIRN_p13s3_CD,037_SMC_IIRN_p13s4_CD,038_SMC_IIRN_p13s5_CD,039_SMC_IIRN_p13s6_CD,040_SMC_IIRN_p13s7_CD,041_SMC_IIRN_p13s8_CD,042_SMC_IIRN_p13s9_CD,043_SMC_IIRN_p13s10_CD,044_SMC_IIRN_p14s1_CD,045_SMC_IIRN_p14s2_CD,046_SMC_IIRN_p14s3_CD,047_SMC_IIRN_p14s4_CD,048_SMC_IIRN_p15s1_CD,049_SMC_IIRN_p15s2_CD,050_SMC_IIRN_p15s3_CD,051_SMC_IIRN_p15s4_CD,052_SMC_IIRN_p16s1_CD,053_SMC_IIRN_p16s2_CD,054_SMC_IIRN_p16s3_CD,055_SMC_IIRN_p16s4_CD,056_SMC_IIRN_p17s1_CD,057_SMC_IIRN_p17s2_CD,058_SMC_IIRN_p17s3_CD,059_SMC_IIRN_p17s4_CD,060_SMC_IIRN_p18s1_CD,061_SMC_IIRN_p18s2_CD,062_SMC_IIRN_p18s3_CD,063_SMC_IIRN_p18s4_CD,064_SMC_IIRN_p19s1_CD,065_SMC_IIRN_p19s2_CD,066_SMC_IIRN_p19s3_CD,067_SMC_IIRN_p19s4_CD,068_SMC_IIRN_p25s1_CD,069_SMC_IIRN_p25s2_CD,070_SMC_IIRN_p25s3_CD,071_SMC_IIRN_p25s4_CD,072_SMC_IIRN_p27s1_CD,073_SMC_IIRN_p27s2_CD,074_SMC_IIRN_p27s3_CD,075_SMC_IIRN_p27s4_CD,076_SMC_IIRN_p29s1_CD,077_SMC_IIRN_p29s2_CD,078_SMC_IIRN_p29s3_CD,079_SMC_IIRN_p29s4_CD,080_SMC_IIRN_p29s5_CD,081_SMC_IIRN_p29s6_CD,082_SMC_IIRN_p29s7_CD,083_SMC_IIRN_p29s8_CD,084_SMC_IIRN_p29s9_CD,085_SMC_IIRN_p29s10_CD,086_SMC_IIRN_p34s1_CD,087_SMC_IIRN_p34s2_CD,088_SMC_IIRN_p34s3_CD,089_SMC_IIRN_p34s4_CD,090_SMC_IIRN_p36s1_CD,091_SMC_IIRN_p36s2_CD,092_SMC_IIRN_p36s3_CD,093_SMC_IIRN_p36s4_CD,094_SMC_IIRN_p37s1_CD,095_SMC_IIRN_p37s2_CD,096_SMC_IIRN_p37s3_CD,097_SMC_IIRN_p37s4_CD,098_SMC_IIRN_p38s1_CD,099_SMC_IIRN_p38s2_CD,100_SMC_IIRN_p38s3_CD,101_SMC_IIRN_p38s4_CD,102_SMC_IIRN_p41s1_CD,103_SMC_IIRN_p41s2_CD,104_SMC_IIRN_p41s3_CD,105_SMC_IIRN_p41s4_CD,106_SMC_IIRN_p42s1_CD,107_SMC_IIRN_p42s2_CD,108_SMC_IIRN_p42s3_CD,109_SMC_IIRN_p42s4_CD,110_SMC_IIRN_p43s1_CD,111_SMC_IIRN_p43s2_CD,112_SMC_IIRN_p43s3_CD,113_SMC_IIRN_p43s4_CD,114_SMC_CL_A301s1_Control,115_SMC_CL_A301s2_Control,116_SMC_CL_A302s1_Control,117_SMC_CL_A302s2_Control,118_SMC_CL_A303s1_Control,119_SMC_CL_A303s2_Control,120_SMC_CL_A303s3_Control,121_SMC_CL_A304s1_Control,122_SMC_CL_A304s2_Control,123_SMC_CL_A305s1_Control,124_SMC_CL_A305s2_Control,125_SMC_CL_A306s1_Control,126_SMC_CL_A306s2_Control,127_SMC_CL_A306s3_Control,128_SMC_CL_A307s1_Control,129_SMC_CL_A307s2_Control,130_SMC_CL_A307s3_Control,131_SMC_CL_A308s1_Control,132_SMC_CL_A308s2_Control,133_SMC_CL_A309s1_Control,134_SMC_CL_A309s2_Control,135_SMC_CL_A311s1_Control,136_SMC_CL_A311s2_Control,137_SMC_CL_A312s1_Control,138_SMC_CL_A313s1_Control,139_SMC_CL_A313s2_Control,140_SMC_SR_A002s1_Control,141_SMC_SR_A004s1_Control,142_SMC_SR_A005s1_CD,143_SMC_SR_A006s1_Control,144_SMC_SR_A007s1_CD,145_SMC_SR_A008s1_CD,146_SMC_SR_A009s1_Control,147_SMC_SR_A010s1_Control,148_SMC_SR_A011s1_CD,149_SMC_SR_A012s1_Control,150_SMC_SR_A013s1_Control,151_SMC_SR_A014s1_Control,152_SMC_SR_A015s1_Control,153_SMC_SR_A016s1_CD,154_SMC_SR_A017s1_Control,155_SMC_SR_A018s1_Control,156_SMC_SR_A019s1_Control,157_SMC_SR_A020s1_CD,158_SMC_SR_A021s1_Control,159_SMC_SR_A022s1_Control,160_SMC_SR_A023s1_Control,161_SMC_SR_A024s1_CD,162_SMC_SR_A025s1_CD,163_SMC_SR_A026s1_Control,164_SMC_SR_A027s1_CD,165_SMC_EN_A009s1_CD,166_SMC_EN_A066s1_CD,167_SMC_EN_A180s1_CD,168_SMC_EN_A193s1_CD,169_SMC_EN_A200s1_CD,170_SMC_CL_A312s2_control,171_SMC_EN_A210s1_CD,172_SMC_EN_A230s1_CD,173_SMC_EN_A243s1_CD,174_SMC_EN_A273s1_CD,175_SMC_EN_A004s1_CD,176_SMC_EN_A040s1_CD,177_SMC_SR_A035s1_CD,178_SMC_SR_A033s1_CD,179_SMC_EN_A211s1_CD,180_SMC_EN_A221s1_CD,181_SMC_EN_A087s1_CD,182_SMC_EN_A012s1_Control,183_SMC_EN_A042s1_Control,184_SMC_EN_A048s1_Control,185_SMC_EN_A055s1_Control,186_SMC_EN_A060s1_Control,188_SMC_EN_A077s1_Control,189_SMC_EN_A105s1_Control,190_SMC_EN_A112s1_Control,191_SMC_SR_A036s1_CD,192_SMC_CL_A087s2_CD,193_SMC_CL_A087s3_CD,194_SMC_CL_A087s4_CD,195_SMC_CL_A087s4_CD,196_SMC_CL_A067s2_CD,197_SMC_CL_A067s3_CD,198_SMC_CL_A067s4_CD,199_SMC_CL_A067s5_CD,200_SMC_CL_A009s2_CD,201_SMC_CL_A009s3_CD,202_SMC_CL_A009s4_CD,203_SMC_CL_A009s5_CD,204_SMC_CL_A009s6_CD,205_SMC_CL_A009s7_CD,206_SMC_CL_A066s2_CD,207_SMC_CL_A066s3_CD,208_SMC_CL_A066s4_CD,209_SMC_CL_A066s5_CD,210_SMC_CL_A066s6_CD
2-hydroxy glutarate,1257617.734,1321836.596,2238578.998,860941.3991,1048330.594,1111451.028,1182266.448,2063142.323,1749473.834,1126834.618,2925374.787,2847033.094,1172416.736,928237.9932,1209803.521,1622595.183,1544931.632,1223495.896,917336.2399,1417904.988,1197222.116,1180768.802,1345366.893,2622389.676,784580.3064,1471120.513,966939.4129,1036810.763,908380.5315,1344853.973,941956.4051,1161198.723,1121072.171,804187.4858,867622.208,863060.9618,613517.816,1250997.908,1293112.181,966026.105,1075986.283,1068024.809,1117621.848,1041657.397,899210.7166,766812.7371,1165872.312,977478.5319,1491643.52,1906055.73,1803491.659,1027874.302,1044681.918,1268511.229,944943.5681,1125178.947,1818373.288,1368372.158,1602674.029,2294882.387,2382166.079,1440883.228,1056587.701,941042.1083,929686.6534,587199.4407,704033.0912,626088.8534,623742.2354,1117844.92,2031705.562,655148.3561,438962.4534,555001.9462,830161.5657,1337995.479,1551644.966,992176.6849,1341554.877,1138252.579,1130360.847,943268.6159,818665.7037,1312318.515,1044352.312,1040319.084,1259418.314,1047219.749,1050897.241,768782.5537,750010.8271,854321.8011,761450.0084,926602.2872,685788.7563,798084.6789,1242117.033,1234460.886,956583.3933,1180812.487,1611258.123,1328535.995,1467303.201,1113096.401,1815164.434,1103851.32,1397373.7,1397898.229,1167288.576,1009600.285,1274298.854,1791729.273,1034478.785,1440740.291,1690442.734,1765717.057,2123648.105,1621293.125,1949010.162,2357509.218,1468538.378,1244625.248,1258070.933,1270580.012,2316389.787,1335548.821,1493565.493,1448096.966,1240176.183,1527076.015,1438642.88,1607445.35,1416124.486,1259121.053,1939516.538,1651600.469,3076909.481,1734205.748,1963821.629,538339.334,1012008.693,943093.5757,776835.6348,1215733.28,1333336.713,1333750.049,1195087.089,833913.8675,1147691.105,481999.5296,1232902.389,1976913.748,1618646.391,2539455.148,856249.1226,1830546.116,1925461.139,636143.6304,1951675.006,1220035.573,1312131.186,1449507.841,1542485.297,1033324.381,2412949.152,1274433.634,731947.8275,2592427.351,1182791.381,2692784.978,919994.3218,1417983.212,1285953.053,2428507.952,810984.9846,2496076.404,1414604.828,766101.6085,1369582.773,1818623.865,979376.74,3326133.152,1367972.831,888981.9986,1112857.101,1162998.473,713125.269,1667972.313,1173767.58,2335951.524,1095715.303,1500026.481,2454734.17,2336019.857,2030303.781,965510.7675,1334518.289,1175714.038,2079399.727,1164755.408,1324853.484,1180053.163,1912330.567,1202864.607,891482.8926,1287858.741,1135914.756,1272164.615,1800141.379
2-Hydroxyisocapric Acid,980699.8706,888700.9367,1101601.559,706359.6458,1086139.01,1051244.625,923678.6844,1778094.76,1384864.23,1196148.575,987325.2646,1353820.533,776801.4166,1078176.184,995165.032,1160353.689,1143380.258,927712.1009,719550.0186,1240515.687,603121.1705,554693.129,385064.044,844347.8524,413907.8961,1015277.185,736702.1468,944734.7312,619751.8996,561841.6002,724573.4862,779025.0617,462523.5588,768091.8124,747968.4515,1138700.559,507510.5942,900128.7471,1182949.982,948372.3238,1746681.731,1251664.589,2020953.726,809838.6769,572345.5377,563629.1114,255651.7037,554744.9253,716335.436,1836622.46,541948.7221,895976.6343,1214957.613,666686.8759,706840.9829,696934.2127,928084.334,1120868.74,948523.0612,1076380.098,800450.0392,998165.135,853702.0716,814831.3423,855087.6575,667653.1036,520709.735,414062.2477,393361.9789,887687.8171,633838.6152,568183.2746,189059.9044,611747.6232,556691.4565,744030.9808,1048435.797,913816.2743,744352.3758,813844.6208,849363.5257,939476.5069,871979.8657,700063.537,852065.761,837321.632,661386.955,492858.4146,733331.08,738648.2937,613023.9169,954524.5883,605319.1833,1002866.539,579468.2461,426325.397,1260255.427,582321.9325,815717.59,711521.0842,1385583.714,597258.8179,679083.8117,713748.6639,741128.0041,487810.6693,1169996.049,1105129.564,682631.5082,914258.1223,1057247.105,1020050.991,780719.7446,874499.3063,816904.5991,643131.0889,906816.8271,610236.9384,629383.9288,610782.4741,694381.1915,1178994.321,398412.3606,717628.3662,1120201.573,695024.7647,454391.4291,784430.7361,734240.7638,1039155.223,785287.4828,653858.4626,1185829.945,717789.1082,360744.2475,743778.0895,2143226.767,509055.1235,490740.3457,870875.1667,518649.4391,734445.3952,698084.8552,1604512.245,798878.104,1084718.626,1278485.653,1049689.538,887949.4586,480203.336,1112682.706,1014831.394,1215775.924,1691964.964,347010.0282,1076847.847,1107465.078,235093.3889,916365.5016,702582.8333,2204726.919,634623.8257,860545.1624,927154.2032,591199.1149,1542536.538,754805.911,771042.7994,1444094.927,1498259.356,1221127.707,954021.4803,1067628.344,1059729.801,736640.7859,978779.4132,916202.1638,797263.0859,961722.1292,1048740.663,447979.1857,929945.256,934183.6506,463741.028,671625.1809,963420.9363,483447.7745,1636905.873,621747.8405,1438778.685,579674.0307,532076.4856,629394.4429,603365.847,1034406.265,893914.0389,792909.9058,1117199.929,659984.6315,575715.2634,553365.5133,875402.5967,576220.7021,632560.1564,978014.9422,1048553.977,1383732.066,952440.6655,1907742.57
3-hydroxybutyric acid,119677684.7,36147255.76,170082998.4,57697500.41,28867071.48,133887797.8,21405639.59,74367857.56,18123717.16,235893242.7,17856540.9,27653133.79,19348150.9,27456537.18,20270752,55202287.73,245297196,39413833.93,18304591.01,245075386.4,17413411.2,30021098.31,9877304.946,37794142.8,21561631.75,19851026.75,24821993.33,31805033.7,20027741.45,12841446.11,18722449.34,22390183.2,14662061.08,16529085.64,11495826,26837507.33,7627561.742,15197999.64,18458354.12,9901089.083,17329063.4,111516717.4,9814854.848,40751393.89,33729004.37,33361984.32,26911753.95,36303084.53,24971003.77,344956247.8,66487805.22,33361209.31,40842727.49,18323883.77,25320324.28,34198569.38,35606553.6,28064956.55,29042707.04,46509410.91,16100897.53,32589659.31,21859139.62,24315936.16,27704494.58,23910726.24,17809687.46,11588943.6,11067670.98,17617779.8,16999179.72,21171858.34,10670809.62,17459186.1,17017716.14,28199321.19,37021931.82,21045637.06,28725106.65,32361275.58,22909937.31,42171297.26,23021960.13,20986346.95,27110379.97,51536789.65,49886949.47,14063280.79,15293878.98,22331524.52,20654693.83,28611276.03,33222637.2,93420986.89,32508673.58,13137288.88,14830346.1,10256667.14,17213616.67,43856012.19,25151462.08,23090793.45,12324473.46,15773400.29,16388312.62,15649588.89,40334249.79,15423680.63,12997697.47,234480208.3,28977830.85,33296548.91,25074769.44,10620872.32,10949414.49,13400761.15,14179765.97,13482953.31,13998270.17,14498938.84,18647567.03,47236418.83,12948740.06,15618887.92,24731215.32,15672999.05,16982809.78,21933087.02,22796344.57,13476819.89,21307892.95,25416110.39,26010180.17,32999360.18,17241055.25,23054187.33,223977543.6,26914798.28,14258539.09,81967101.97,11530121.93,87439996.36,214747956.8,57357665.65,26381107.57,175190446.5,88453159.79,353784057.8,211494458.4,90930795.4,203467488.3,37415820,196893302.4,63086075.91,36248861.23,145767681.5,274840050.3,19761147.35,27449189.14,117005911.9,704549477.4,48756862.24,33544820.23,37533819.59,16986096.1,64692584.6,20711423.88,162583598.3,133232998.1,84250860.21,170154660.5,325366307.3,93360536.48,78807517.79,46780339.64,9189204.626,83801639.42,182421184,101094436.5,454049916.7,19847691.62,18092126.1,60648792.68,29011476.28,28608618.05,153072590.5,32027554.32,93459405.6,56700113.67,121371776.6,13142533.24,9642529.451,14758905.25,33663069.3,13925489.18,15045480.25,21197604.63,19228827.34,18744907.41,47482510.05,16409666.84,18015899.4,91228977.77,18855179.99,12651463.33,24107557.85,38693637.41,16915501.83,25451261.27
5-Oxoproline (pyroglutamic acid),27696770.36,30761322.61,38121114.72,18216503.76,37815950.19,40004512.04,32515024.75,111282957.1,38191127.03,30773093.73,54342863.05,53195953.14,26378206.03,19806261.64,26258539.4,35765129.59,39258362.27,24323817.79,26378087.72,39003205.51,27554847.62,24226988.69,37812215.44,61447333.11,26186898.73,45144070.77,30333652.02,27141874.38,33660844.95,81525351.83,43158943.29,33508365,47510934.57,29033260.69,31999480.84,32544784.81,30950090.98,60799539.82,55224501.6,52250632.36,67341439.99,63829025.27,45127037.64,23021003.44,33458574.85,25319435.99,31461779.33,29252270.12,34871528.95,108184725.9,47462491.89,30349612.27,30305079.08,31089068.73,23826331.16,28378257.33,36792996.94,31159878.11,32190745.56,52544381.5,60184916.36,49335636.39,31007540.34,32625532.96,24573418.4,24576090.23,25113362.06,28742915.25,26693042.15,34063696.24,24753825.3,19936077.02,21578499.86,29353608.41,30751893.49,32666263.08,43273390.95,29512683.41,45165498.46,33733344.7,34487150.07,31272503.8,27720634.2,39334347.03,29323872.97,34690504.16,40448704.61,28254299.8,57960560.54,36303088.54,32845926.63,41902403.49,44695717.63,41694210.37,39040833.28,34074674.46,56872324.92,24182295.46,32443213.59,41775669.04,41590090.1,44176908.17,41742521.5,26920403.82,63439804.62,33786331.06,40003632.22,33249846.77,30033484.36,22680770.61,31622075.93,33488424.15,28738226.58,44372499.61,72167590.64,60472667.53,61062288.33,46394868.75,49657955.89,70760258.51,43483813.37,47017245.61,41674734.45,36373602.31,49931316.39,22913220.38,30492980.93,45502252.51,35916954.65,58883429.52,46059895.73,53898856.63,45717084.05,61480726.84,59397573.61,42460152.73,48605025.35,50423303.45,52888655.5,21219332.28,40805366.89,36780062.39,27085964.6,35494501.52,34485520.33,28705469.74,33449383.99,35279898.51,28849128.23,27127481.52,32053687.89,59172689.23,27556489.87,62619100.04,34570932.23,51484676.02,42311503.05,26840261.86,80722429.11,32946353.61,46508479.79,41649563.87,37484842.15,33912207.67,38540847.99,66669163.55,42730404.33,33445667.29,35735665.82,55675078.55,28900954.7,34924307.44,34850643.27,46422283.4,31114501.79,29039128.84,40211578.96,38316394.36,43267875.35,36930186.27,37942100.82,70953005.08,37751537.3,45849686.83,40730439.76,41992405.32,30368832.76,61852102.65,39834261.58,44395827.9,36763649.66,29883211.76,35210244.7,36686759.17,35949939.74,22736032.61,26064714.23,22585916.2,31652357.24,21315216.73,27917686.86,29739352.91,29232049.68,20682564.94,26642007.77,36730566.49,54960614.63,41429504.9,37826323.22
Acetoacetate,5565592.873,1335404.097,4298790.358,3857942.011,0,4978079.366,0,2097313.363,1936719.83,9916928.271,0,0,0,1642309.45,0,1925255.292,6095544.044,2867827.201,0,6869082.499,0,0,0,1262505.051,0,0,0,0,878625.6884,0,0,2377342.652,0,2064053.029,0,770085.6929,0,0,0,1130503.975,0,3673763.977,0,2057702.457,910272.2929,0,798159.9034,1622663.689,0,5823878.939,3091747.761,0,4534650.894,974244.4437,1557942.138,992953.39,2558722.469,1743970.5,0,1410960.751,0,0,0,0,1509500.634,0,1643059.118,1955786.182,839359.8934,950312.9138,0,0,0,1291789.193,956745.8149,0,807770.2859,0,0,0,0,1156691.508,1273920.902,0,0,1573246.642,1487541.305,0,0,1322221.828,1805915.863,0,0,2997958.45,1134575.578,0,0,0,0,0,0,0,0,1695466.876,916006.6207,0,958795.7107,0,0,6355726.458,1514513.105,1627534.318,0,0,0,0,0,0,0,0,0,1681310.639,0,0,0,0,0,0,1325956.436,0,0,0,1430331.141,856491.549,0,0,5930615.987,0,0,3035536.57,0,3696354.51,5104750.358,1107487.806,750948.0309,3556365.541,1966398.432,8027071.715,3581853.308,1643815.6,4954655.089,0,4556183.194,658079.4434,0,3385430.398,5687991.406,0,0,2422304,11413318.49,1343538.214,1033031.612,0,0,716831.0073,0,3324764.111,1888130.169,878313.3976,3194141.963,5605007.244,2666618.574,1667201.55,0,0,2408501.726,4028692.766,2872610.022,5559586.163,0,0,2427597.987,0,0,3035633.633,0,2738176.66,808781.5155,2481569.118,0,0,738456.6584,1117802.858,0,1040749.091,0,0,0,2481295.147,1296981.063,1198711.764,2449954.171,0,0,876069.8582,0,0,1225735.569
acetyl-aspartate (N),129045.1149,191357.0467,259054.8306,14802.50586,171850.1955,205055.021,218721.3289,270560.6458,233127.2156,98382.41034,133798.9877,348875.8656,130827.792,296248.0198,220580.9927,198592.5194,431809.0141,336389.2042,308544.643,340503.9757,77315.80401,101264.8344,78524.13476,118309.6773,42961.55253,156592.9339,40089.41133,210097.1891,100571.377,209511.1197,194737.3464,106706.1604,98894.97503,85616.70154,82210.58194,159626.2977,62020.68825,130532.2724,186385.6167,173782.9708,114035.4783,151856.5595,171052.2783,75328.19567,82917.97671,57400.99485,34948.82126,219464.3468,165671.3726,275819.7549,285915.9106,163129.6618,125302.1796,96488.85613,110915.3239,195574.0449,167098.7128,150508.185,105765.374,95360.76541,78213.02926,127666.8778,84970.73028,51819.53396,140287.7062,44554.97276,27886.86689,49635.70273,79882.01725,75317.34313,90508.81043,44698.07536,14257.5019,39515.37065,143189.7042,43184.61397,148399.1165,75342.5701,53358.99861,74222.74334,44984.81692,113351.503,16479.30426,77601.4632,121524.9814,103477.8697,105229.0451,113481.4884,95105.44124,98032.01834,70690.0932,132259.2199,134749.723,100702.6493,61269.58572,79224.51574,54010.01724,98235.42763,15902.05518,168555.3485,195024.7294,256262.3473,93923.16932,52337.43423,229929.5587,226240.7208,162633.4805,225600.2269,102093.5036,103268.1611,112684.9178,196243.5225,103340.4551,225639.7497,262770.6581,273126.2465,246569.5482,190651.7799,271312.9903,254249.7134,235932.1377,383432.4205,165238.7661,45325.85015,517592.9808,196777.7282,201775.3936,169756.0486,261510.0928,95724.21717,166423.9003,343871.3725,151622.9266,67823.57105,283045.4352,125495.3544,199966.9864,139492.4017,173239.5653,39158.1247,313927.0712,82459.44298,0,159848.5868,79282.34644,199053.5701,159875.9046,194174.1034,145276.4515,37928.59224,319954.455,312034.83,480673.3263,418909.5049,146514.7261,313033.2121,244380.7365,0,394611.7515,138396.2818,137514.0372,283585.4306,178266.5992,106208.5387,434582.1112,70493.81146,30682.8916,201294.1671,87322.21548,238047.8816,14891.17229,119128.633,47259.05338,58899.8577,127374.0725,209294.5992,156844.3027,105975.368,53318.11907,148154.1177,155679.6504,241383.3639,218022.2608,126112.5785,264690.8785,238170.4743,216489.3977,187829.081,229914.2865,92833.3785,41878.6646,106748.2826,79085.27388,129544.4292,393485.3603,170641.6508,204077.7525,323731.1475,384762.6678,203831.883,118099.3399,78703.99707,301749.5181,190928.739,123248.848,114012.9905,118225.8084,298775.1182,291063.6468
acetyl-carnitine,205566299.7,163429479.7,289701477.7,198578633.5,164296096.1,381120654.2,187286106.5,350409544.6,208970421.7,479216189.3,180265933.3,196572479.4,286967230.4,273113236.4,278848182.7,330796195.4,498746559.4,210149255.7,192201608.4,301376757.1,183823284.4,341494392.6,164580195.4,343542673,243343794.4,194034194.1,233640864,336191210.4,244780749.7,223148057.3,221937871.2,275660878.9,238580183.2,183512506.8,217458903,419979065.7,186522027.9,336356728.4,322073985.1,271611908.9,251800016,730505907,320535616.7,273072134.5,244725208.5,289458143.1,235103304,273128653.3,228206561.9,999399703.3,402120469.2,427971981.8,298910913.3,144551978.5,176875567.9,356237192.7,305843048.4,279751146.9,435849419.4,555426024.5,325088738.9,373332890.2,347128221.3,313256811.7,296248028.9,299732207.5,144941262.1,185003679.4,164633739.2,204548206.5,219607434.3,168023460.4,55790350.54,93541235.99,131534351.3,299546554.5,356795201.9,323805621.4,330683298.5,332996353.4,283817465.5,388869140.4,202716628.7,250880713.8,354806807.7,502599454.8,380462879.1,164953298.1,298154201.8,183640153.5,186182146.9,222435040.3,205759948.9,344028280,264148448.4,110618190.9,142864925.2,78364714.52,181337551.9,357234517.5,310462505,327811683.2,253900583.5,187147558.2,330848988.9,218951267.4,518041675.6,309840630.1,200230013,559022556.5,236693222.2,278391346.6,239401071.2,196612605.7,244815628.1,162866596.2,132865514.8,160102111.6,201406067.6,208622184.8,176810839.3,453233496.8,231288055.9,164577480.1,415555987.4,248496696.9,268638723.1,353855818.2,266610329.4,259300331.2,323213081.1,262972198.9,295685195,383087312.6,258505052.9,208042442.7,673411593.3,348860463.2,231277614.1,581837632.7,222872925.2,454426190.8,521599756.2,438581351.1,303355168.2,401643677.3,513318220.6,806470586.3,361494908.8,421516725.2,640118550.1,417675594,612195551.5,378144958.3,322671561.4,485179871.1,475273562.7,267046881.7,402989496.3,364081693.4,544169464.2,361495056.4,175766994.6,351490043.8,296705544.8,464724464.7,168599541.2,332342094.3,252492456.6,463491683,356973660.1,536840884,348077586.1,442128694.3,243846496.5,190669124.1,344784976.6,459514858.7,586710506.6,773790354.4,192712412.5,217274464.6,334289748.5,237277263.1,165224631.1,358817969.7,191345674.5,324361833.9,496479812.5,296326714.2,240444124.4,159409521.9,269466578.8,389461688.1,245298356.6,207311759.1,222857352.5,206836800.6,338421017.4,476550760.5,354618040.8,186700760.7,659650818.4,259551157.9,136562636.8,186585345.5,246350605.6,193148927.9,287216989.7
acetyl-glutamine,301668.8557,436072.7705,753879.6393,256230.993,680451.3874,369789.2668,306238.6154,465097.1185,1020608.766,408178.481,659839.7377,607592.053,669443.6439,337032.6695,475713.6871,506651.8483,502241.8795,311459.1406,513868.1679,339885.838,545608.2773,348852.8896,680400.0453,285477.0715,402665.279,761449.2601,658954.6843,262029.2651,424198.1816,690294.3171,541142.4273,708847.8998,491463.3958,216949.0662,270372.9432,241356.602,693972.587,278953.8714,208952.7182,545644.0651,224532.9552,570970.5663,338930.0059,89428.45344,40376.0561,210803.747,162616.5171,331202.1263,273638.9789,89588.01428,461318.7853,647735.8245,467398.5686,293436.019,211700.1016,502989.0647,710672.1819,514612.318,518615.2821,336663.6478,58051.06168,114855.4366,337749.9489,82567.36205,271359.168,163432.5098,179634.245,471462.4381,443418.8492,107958.6343,244184.5251,39140.66694,92584.66314,173550.5697,67775.4728,161525.5721,506618.1706,285870.4643,224408.3281,732483.3407,653547.4738,441237.8561,970361.7964,399070.1415,1057035.704,565149.147,703893.2803,515081.1964,804603.2397,544656.802,484684.2686,941823.2241,993078.7937,472999.1069,726207.2303,510097.8458,794461.5363,193099.3026,800085.405,857472.5173,483845.3415,699035.6927,392872.5667,979150.2399,489175.6154,294092.9799,472662.8454,645148.2147,619322.5043,447273.194,314721.193,834724.6064,587524.7634,400611.3375,1266618.065,575043.5793,695339.5589,575551.6302,428459.5463,518321.1091,376937.4691,703385.9192,570191.7691,558583.3427,613381.7757,599605.1158,1201258.576,1082674.006,532566.1537,523309.3201,1065830.859,846620.6505,900671.3811,1449864.518,1041649.746,554686.8439,591233.4768,805622.9274,725212.0813,582024.7658,928529.0612,934653.0641,596037.1821,840267.4116,478751.487,421051.2752,826297.8191,978118.8408,526804.5276,700395.5412,747584.8879,859663.4701,591011.6946,1748761.067,512340.3121,1163304.341,1138558.764,952857.8806,2344782.595,351272.5373,947696.2557,1199055.343,643153.8209,641517.2976,433027.561,691799.5906,887801.6696,760574.9453,1327991.183,1072356.482,746493.4558,702808.37,564410.3238,578814.0278,1013131.348,716666.7859,822324.9121,837746.6421,1191393.712,765731.3355,1272547.059,876548.256,1201800.807,780308.264,1970165.291,1601000.136,858465.9593,846528.7846,1125445.799,614167.1945,1428387.292,118726.4774,66750.83149,34224.00561,251319.9682,123294.5135,120567.2782,151547.0513,149504.5778,107572.8796,82131.29103,122568.4026,61745.0629,58588.95105,43159.03284,64017.39406,64505.37692,48003.94327,88664.8445
