Compound,001_SMC_IIRN_p3s1_CD,002_SMC_IIRN_p3s2_CD,003_SMC_IIRN_p3s3_CD,004_SMC_IIRN_p3s4_CD,005_SMC_IIRN_p4s1_CD,006_SMC_IIRN_p4s2_CD,007_SMC_IIRN_p4s3_CD,008_SMC_IIRN_p4s4_CD,009_SMC_IIRN_p5s1_CD,010_SMC_IIRN_p5s2_CD,011_SMC_IIRN_p5s3_CD,012_SMC_IIRN_p5s4_CD,013_SMC_IIRN_p8s1_CD,014_SMC_IIRN_p8s2_CD,015_SMC_IIRN_p8s3_CD,016_SMC_IIRN_p8s4_CD,017_SMC_IIRN_p9s1_CD,018_SMC_IIRN_p9s2_CD,019_SMC_IIRN_p9s3_CD,020_SMC_IIRN_p9s4_CD,021_SMC_IIRN_p10s1_CD,022_SMC_IIRN_p10s2_CD,023_SMC_IIRN_p10s3_CD,024_SMC_IIRN_p10s4_CD,025_SMC_IIRN_p11s1_CD,026_SMC_IIRN_p11s2_CD,027_SMC_IIRN_p11s3_CD,028_SMC_IIRN_p11s4_CD,029_SMC_IIRN_p12s1_CD,030_SMC_IIRN_p12s2_CD,031_SMC_IIRN_p12s3_CD,032_SMC_IIRN_p12s4_CD,033_SMC_IIRN_p12s5_CD,034_SMC_IIRN_p13s1_CD,035_SMC_IIRN_p13s2_CD,036_SMC_IIRN_p13s3_CD,037_SMC_IIRN_p13s4_CD,038_SMC_IIRN_p13s5_CD,039_SMC_IIRN_p13s6_CD,040_SMC_IIRN_p13s7_CD,041_SMC_IIRN_p13s8_CD,042_SMC_IIRN_p13s9_CD,043_SMC_IIRN_p13s10_CD,044_SMC_IIRN_p14s1_CD,045_SMC_IIRN_p14s2_CD,046_SMC_IIRN_p14s3_CD,047_SMC_IIRN_p14s4_CD,048_SMC_IIRN_p15s1_CD,049_SMC_IIRN_p15s2_CD,050_SMC_IIRN_p15s3_CD,051_SMC_IIRN_p15s4_CD,052_SMC_IIRN_p16s1_CD,053_SMC_IIRN_p16s2_CD,054_SMC_IIRN_p16s3_CD,055_SMC_IIRN_p16s4_CD,056_SMC_IIRN_p17s1_CD,057_SMC_IIRN_p17s2_CD,058_SMC_IIRN_p17s3_CD,059_SMC_IIRN_p17s4_CD,060_SMC_IIRN_p18s1_CD,061_SMC_IIRN_p18s2_CD,062_SMC_IIRN_p18s3_CD,063_SMC_IIRN_p18s4_CD,064_SMC_IIRN_p19s1_CD,065_SMC_IIRN_p19s2_CD,066_SMC_IIRN_p19s3_CD,067_SMC_IIRN_p19s4_CD,068_SMC_IIRN_p25s1_CD,069_SMC_IIRN_p25s2_CD,070_SMC_IIRN_p25s3_CD,071_SMC_IIRN_p25s4_CD,072_SMC_IIRN_p27s1_CD,073_SMC_IIRN_p27s2_CD,074_SMC_IIRN_p27s3_CD,075_SMC_IIRN_p27s4_CD,076_SMC_IIRN_p29s1_CD,077_SMC_IIRN_p29s2_CD,078_SMC_IIRN_p29s3_CD,079_SMC_IIRN_p29s4_CD,080_SMC_IIRN_p29s5_CD,081_SMC_IIRN_p29s6_CD,082_SMC_IIRN_p29s7_CD,083_SMC_IIRN_p29s8_CD,084_SMC_IIRN_p29s9_CD,085_SMC_IIRN_p29s10_CD,086_SMC_IIRN_p34s1_CD,087_SMC_IIRN_p34s2_CD,088_SMC_IIRN_p34s3_CD,089_SMC_IIRN_p34s4_CD,090_SMC_IIRN_p36s1_CD,091_SMC_IIRN_p36s2_CD,092_SMC_IIRN_p36s3_CD,093_SMC_IIRN_p36s4_CD,094_SMC_IIRN_p37s1_CD,095_SMC_IIRN_p37s2_CD,096_SMC_IIRN_p37s3_CD,097_SMC_IIRN_p37s4_CD,098_SMC_IIRN_p38s1_CD,099_SMC_IIRN_p38s2_CD,100_SMC_IIRN_p38s3_CD,101_SMC_IIRN_p38s4_CD,102_SMC_IIRN_p41s1_CD,103_SMC_IIRN_p41s2_CD,104_SMC_IIRN_p41s3_CD,105_SMC_IIRN_p41s4_CD,106_SMC_IIRN_p42s1_CD,107_SMC_IIRN_p42s2_CD,108_SMC_IIRN_p42s3_CD,109_SMC_IIRN_p42s4_CD,110_SMC_IIRN_p43s1_CD,111_SMC_IIRN_p43s2_CD,112_SMC_IIRN_p43s3_CD,113_SMC_IIRN_p43s4_CD,114_SMC_CL_A301s1_Control,115_SMC_CL_A301s2_Control,116_SMC_CL_A302s1_Control,117_SMC_CL_A302s2_Control,118_SMC_CL_A303s1_Control,119_SMC_CL_A303s2_Control,120_SMC_CL_A303s3_Control,121_SMC_CL_A304s1_Control,122_SMC_CL_A304s2_Control,123_SMC_CL_A305s1_Control,124_SMC_CL_A305s2_Control,125_SMC_CL_A306s1_Control,126_SMC_CL_A306s2_Control,127_SMC_CL_A306s3_Control,128_SMC_CL_A307s1_Control,129_SMC_CL_A307s2_Control,130_SMC_CL_A307s3_Control,131_SMC_CL_A308s1_Control,132_SMC_CL_A308s2_Control,133_SMC_CL_A309s1_Control,134_SMC_CL_A309s2_Control,135_SMC_CL_A311s1_Control,136_SMC_CL_A311s2_Control,137_SMC_CL_A312s1_Control,138_SMC_CL_A313s1_Control,139_SMC_CL_A313s2_Control,140_SMC_SR_A002s1_Control,141_SMC_SR_A004s1_Control,142_SMC_SR_A005s1_CD,143_SMC_SR_A006s1_Control,144_SMC_SR_A007s1_CD,145_SMC_SR_A008s1_CD,146_SMC_SR_A009s1_Control,147_SMC_SR_A010s1_Control,148_SMC_SR_A011s1_CD,152_SMC_SR_A015s1_Control,153_SMC_SR_A016s1_CD,154_SMC_SR_A017s1_Control,155_SMC_SR_A018s1_Control,156_SMC_SR_A019s1_Control,157_SMC_SR_A020s1_CD,158_SMC_SR_A021s1_Control,159_SMC_SR_A022s1_Control,160_SMC_SR_A023s1_Control,161_SMC_SR_A024s1_CD,162_SMC_SR_A025s1_CD,163_SMC_SR_A026s1_Control,164_SMC_SR_A027s1_CD,165_SMC_EN_A009s1_CD,166_SMC_EN_A066s1_CD,167_SMC_EN_A180s1_CD,168_SMC_EN_A193s1_CD,169_SMC_EN_A200s1_CD,170_SMC_CL_A312s2_control,171_SMC_EN_A210s1_CD,172_SMC_EN_A230s1_CD,173_SMC_EN_A243s1_CD,174_SMC_EN_A273s1_CD,175_SMC_EN_A004s1_CD,176_SMC_EN_A040s1_CD,177_SMC_SR_A035s1_CD,178_SMC_SR_A033s1_CD,179_SMC_EN_A211s1_CD,180_SMC_EN_A221s1_CD,181_SMC_EN_A087s1_CD,182_SMC_EN_A012s1_Control,183_SMC_EN_A042s1_Control,184_SMC_EN_A048s1_Control,185_SMC_EN_A055s1_Control,186_SMC_EN_A060s1_Control,188_SMC_EN_A077s1_Control,189_SMC_EN_A105s1_Control,190_SMC_EN_A112s1_Control,191_SMC_SR_A036s1_CD,192_SMC_CL_A087s2_CD,193_SMC_CL_A087s3_CD,194_SMC_CL_A087s4_CD,195_SMC_CL_A087s4_CD,196_SMC_CL_A067s2_CD,197_SMC_CL_A067s3_CD,198_SMC_CL_A067s4_CD,199_SMC_CL_A067s5_CD,200_SMC_CL_A009s2_CD,201_SMC_CL_A009s3_CD,202_SMC_CL_A009s4_CD,203_SMC_CL_A009s5_CD,204_SMC_CL_A009s6_CD,205_SMC_CL_A009s7_CD,206_SMC_CL_A066s2_CD,207_SMC_CL_A066s3_CD,208_SMC_CL_A066s4_CD,209_SMC_CL_A066s5_CD,210_SMC_CL_A066s6_CD
2-hydroxy glutarate,1181481.256,1235306.715,1840556.167,1108918.954,850323.091,959404.0832,1107380.766,1535641.111,1563220.195,1200209.155,2753085.062,2471850.634,996067.4039,864126.1914,994553.1285,1322661.796,1365741.726,1575035.193,1106471.536,1560783.473,1358219.566,1362422.7,1333155.071,2451283.451,735926.9482,1221847.563,797009.6644,776552.9914,939828.4399,970112.3586,800266.8494,1007721.367,968800.8579,925339.1735,1060444.467,844856.9855,790491.73,961069.287,930191.2371,806406.4381,952615.3084,793222.1345,929183.249,1365861.97,1083315.915,990576.7253,1264054.342,1092207.321,1388459.533,1321543.875,1573365.529,808295.7947,837971.124,1092631.778,930589.2145,942926.2523,1542699.094,1067073.336,1399498.111,1572840.484,1911176.891,1085049.156,886114.1668,846396.6307,840422.1651,585684.1688,725130.5096,635010.9827,627310.0037,891802.4114,2222621.916,950364.0685,916063.4204,672177.337,889057.9865,1178247.318,1160788.062,858035.8326,1141993.624,934671.3125,1107645.347,769606.6619,720239.4701,1184291.297,955868.315,904749.4788,1170501.232,1037926.125,916805.5276,603980.5796,640209.4244,841217.401,773796.2591,856078.8058,680455.6631,1003293.835,1136070.197,1846331.53,1043001.712,1129805.271,1218119.782,1164486.16,1433243.538,1212678.829,1467321.919,1204463.306,1254742.569,1220961.45,1050493.32,1095118.971,1271723.825,1637207.841,1066619.364,1564483.065,1353181.401,1568856.059,1873819.131,1350741.273,1709977.249,2159099.7,1612475.34,1061943.889,1312830.503,1540803.86,1331679.623,1152034.14,1135392.704,1219532.552,979376.3249,1172038.875,1331182.69,1487346.435,1055727.565,928260.187,1525217.957,1430005.672,2267772.798,1585037.452,1797308.881,529118.3075,941298.0254,770077.3716,871660.6917,1002424.851,1222370.813,1521726.73,1121957.409,608659.2398,1323660.799,1185010.095,2045571.764,997488.0664,1232271.681,1491696.922,824302.1904,1121473.214,1246736.819,969992.1254,1146461.468,1504745.629,893859.0932,2210627.685,896121.8414,697179.7757,2561490.972,1132419.478,1664534.929,837535.8275,1063062.486,1246059.865,1970864.053,734682.5493,2568882.623,1278201.135,703259.4826,1096187.586,1455035.936,1063995.974,2762619.571,1339775.819,1042438.303,970874.583,1144705.237,986925.5538,1355130.551,1026585.86,2188001.388,1142847.328,1786774.272,2600156.347,2336176.172,1370923.275,960681.3349,1142358.774,1029281.319,1867687.012,1203470.642,1286310.931,1129458.846,1814990.783,1358549.193,765362.7419,1128372.496,999635.651,1096296.27,1391363.759
2-Hydroxyisocapric Acid,921328.0664,830524.9214,905735.0867,909812.9096,880990.2959,907433.9401,865172.1535,1323474.092,1237427.9,1274036.534,929176.8183,1175413.855,659958.6534,1003708.409,818103.5009,945864.6925,1010764.551,1194265.721,867905.9866,1365519.127,684226.3966,640029.1987,381568.8388,789255.6689,388240.6585,843244.2779,607234.2517,707589.6661,641207.5564,405285.2509,615582.7784,676060.1649,399700.6011,883805.6491,914198.5976,1114682.698,653905.913,691516.8184,850946.8268,791669.6492,1546409.822,929611.4178,1680207.266,1061892.186,689528.0696,728101.9895,277180.9937,619856.5484,666783.1502,1273403.041,472795.8866,704574.6199,974554.4352,574250.5465,696103.5741,584047.1571,787382.2557,874067.145,828275.8743,737717.1937,642189.3213,751662.7417,715962.8104,732879.535,772985.8419,665930.2206,536313.5912,419962.8749,395611.9859,708186.0119,693399.4886,824211.743,394545.9602,740903.5069,596186.34,655198.4079,784336.4842,790269.6361,633627.2052,668285.0836,832294.8905,766512.7051,767143.797,631766.7129,779873.4717,728205.7224,614691.9073,488484.5087,639759.9703,580306.1248,523277.3645,939883.1826,615133.9083,926538.6034,574961.9632,535945.1872,1152660.009,870954.5653,889410.0077,680785.7135,1047508.719,523508.3052,663320.6309,777603.7123,599104.6017,532272.8166,1050573.55,965249.5204,614329.5274,991700.804,1055110.682,932080.2568,804976.1966,949608.5893,653923.4293,571427.9656,800137.61,508404.1907,552194.2473,559378.6215,762440.1001,1005946.02,415753.9022,870251.811,643997.6626,599523.0159,345423.5624,660617.9283,579835.374,797557.1002,726630.0196,605005.9825,884041.8855,529174.7368,283685.9564,643985.5805,1579621.172,465268.5744,449130.3938,855958.25,482410.5724,599706.9581,783297.1358,1322989.98,732392.1019,1237597.201,1200252.654,766150.1518,679489.7023,890068.8568,1362904.857,404249.5962,724903.4016,857977.4552,304629.3104,526562.7531,717959.3008,1629842.94,501943.9994,839490.3822,802018.4471,541628.1274,1084639.204,718952.0837,761841.6652,1382594.809,926143.3984,1111678.823,715230.2214,1034508.085,860027.3961,667333.1082,1007328.711,827857.0963,731864.8323,769743.808,839071.4437,486685.0832,772393.902,914928.0143,543792.125,585936.7001,948266.9301,669064.7258,1329890.875,543785.2882,1347652.007,604608.6196,633789.1947,666680.7247,603406.2213,698462.7806,889442.7293,678737.4857,978055.0195,592788.7306,594851.4279,537267.039,837870.0531,546890.418,714431.2711,839652.9019,918702.8282,1217721.574,820772.0419,1474530.781
3-hydroxybutyric acid,112432369.1,33780989.2,139841976.5,74316151.89,23414691.5,115571893.5,20049789.62,55353592.49,16194218.01,251253577.9,16804881.28,24008999.56,16437894.35,25560161.38,16664143.78,44998258.21,216846240.2,50738360.25,22078609.84,269770976.1,19755094.3,34639656.58,9787649.19,35328142.75,20224552.82,16487383.9,20459780.94,23821409.79,20721096.88,9263195.725,15906209.1,19430839.51,12670564.59,19019209.72,14050683.54,26271441.47,9827790.359,11675743.49,13277888.42,8265099.607,15342138.96,82823477.38,8160003.97,53434823.47,40634710.58,43097360.78,29178083.29,40564056.83,23243642.18,239171819.2,58003939.36,26234457.99,32761193.31,15783271.95,24935690.85,28659200.34,30208427.69,21885396.18,25360873.71,31876092.99,12917513.84,24541462.94,18332310.01,21870356.55,25044428.93,23849024.46,18343381.73,11754092.77,11130977.4,14055239.89,18596567.39,30712087.18,22268734.56,21145275.79,18225050.49,24832501.37,27696165.97,18200297.38,24452140.73,26573325.18,22449543.91,34407284.16,20254084.53,18938960.15,24813420.65,44820751.91,46364845.71,13938475.24,13342420.4,17544372.02,17630851.68,28172409.07,33761313.42,86310737.63,32255867.18,16515241.17,13564192.23,15340468.17,18768705.15,41961576.7,19014640.22,20239503.85,12038392.57,17184557.03,13247797.21,17075991.33,36217298.35,13471452.41,11697188.38,254341969.1,28919274.14,30425004.37,25853826.13,11533081.28,8764889.658,11906701.16,12511638.2,11232997.44,12281477.02,13278698.66,20475285.11,40303236.98,13512354.89,18940674.78,14217838.33,13519408.42,12910152.52,18471217.21,18002442.29,10343530.16,19716288.63,23517167.27,19390713.5,24328075.67,13558207.18,19961013.13,165078038.1,24599712.78,13049555.29,80563116.1,10724493.85,71398601.69,240961336.2,47293884.57,24185560.64,199881518.6,83040540.61,258220835.6,25052106.73,144145473.8,50816843.79,42228138.45,98126665.21,212924607.4,25606099.42,15772877.28,119566659.9,520837742.7,38563340.11,32724086.06,32467970.91,15561842.35,45488785.37,19727616.25,160643429.1,127558963.1,52079353.07,154903808.7,243927228.9,90464280.34,63956514.44,42378958.72,9457237.786,75721041.29,167457457.4,80914033.44,363274098.7,21562554.14,15026957.54,59398684,34019444.87,24958622.36,150664854.8,44324346.87,75930334.61,49590341.36,113684557.6,13707857.28,11485812.93,15633245.19,33665321.87,9402916.652,14970223.57,18145326.18,16833917.2,16836407,49060778.31,15932277.86,17243474.77,86585319.84,21295571.77,10861631.49,21122118.71,34051445.51,14577045.56,19671767.43
5-Oxoproline (pyroglutamic acid),26020001.27,28747629.25,31343121.17,23463416.1,30673316.07,34531878.8,30455497.63,82830293.36,34125198.04,32776902.87,51142344.27,46185782.24,22410522.12,18438277.21,21586573.4,29154018.83,34704955.43,31312625.71,31816690.51,42933453.97,31260308.9,27954159.42,37468996.03,57438004.8,24562997.96,37494666.4,25002821.78,20328785.63,34826175.04,58808430.46,36666953.36,29079514.75,41057690.45,33407151.85,39111115.51,31858339.11,39877881.82,46708767.47,39725360.43,43617088.72,59620171.41,47405823.57,37518314.02,30186041.2,40308913.08,32707912.61,34111281.61,32685672.94,32459301.55,75008752.17,41406262.28,23866210.02,24308625.18,26778560.3,23464392.53,23781642.82,31215000.47,24298853.85,28109825.7,36012272.74,48285475.29,37151928.49,26004675.95,29344214.17,22213985.13,24512671.47,25865922.01,29152518.46,26845724.75,27175582.14,27079905.5,28919451.74,45031811.34,35550920.98,32933609.12,28766118.77,32372892.47,25522611.31,38446963.42,27699993.96,33794103.37,25515030.24,24387848.17,35496965.37,26839372.81,30169796.98,37592957.04,28003555.07,50564946.04,28520887.15,28037290.96,41259664.58,45420419.88,38520873.86,38737229,42836194.87,52016800.06,36168448.16,35374153.02,39971097.54,31442331.17,38721870.04,40773576.43,29328819.8,51282745.59,36865830.8,35920427.2,29041299.5,27028427.53,24601956.39,31558175.88,30600332,29631104.49,48183579.4,57769387.53,53730528.62,53878834.17,38652766.19,43567743.5,64805028.86,47745825.24,40116233.17,43488694.59,44109451.04,28705236.47,19764767.65,23180441.85,38320277.88,28363885.33,45193341.92,42619427.5,49871849.3,34082304.43,45325356.81,46709705.27,36763285.3,35823333.44,46086125.9,48404217.99,20855873.75,37954230.58,30032538.13,30392234.32,29266756.92,31615490.02,32751174.5,31402551.77,25750184.81,39619618.81,20174090.43,50440687.25,40273433.79,34658022.38,32779648.26,34779074.39,46384793.44,33667405.3,34381363.42,32941953.67,36567708.28,29335159.18,35309266.88,46878622.8,40700679.19,33046547.97,34213779.95,34415340.87,26310580.88,26182764.91,33769497.07,37674165.13,28187058.86,29886149.86,36334165.44,35173360,34630771.33,29546927.86,41220340.33,58932144.77,36973392.8,53764271.71,35533896.2,41331891.16,42028768.85,50251238.17,34839341.61,41583967.84,38345032.37,35595740.89,37296153.02,36689214.07,24274500,22622308.21,22311612.55,19772887.68,28429693.32,22023711.92,27105507.29,28464289.8,27744105.36,23359471.84,22872901.19,32181915.34,48366824.62,35702149.82,29236689.89
Acetoacetate,5228650.552,1247986.062,3534458.74,4969147.752,0,4297076.119,0,1561075.349,1730531.484,10562675.22,0,0,0,1528877.961,0,1569375.805,5388548.38,3691821.758,0,7561261.529,0,0,0,1180128.86,0,0,0,0,909043.4915,0,0,2063125.751,0,2375004.781,0,753842.7827,0,0,0,943707.0893,0,2728504.88,0,2698140.04,1096642.248,0,865375.6341,1813119.269,0,4037925.764,2697239.728,0,3637381.332,839165.168,1534275.908,832118.1455,2170807.755,1359969.514,0,967028.29,0,0,0,0,1364564.917,0,1692295.874,1983657.269,844160.9818,758147.5149,0,0,0,1564519.594,1024622.848,0,604294.2333,0,0,0,0,943736.9963,1120760.417,0,0,1368228.365,1382518.35,0,0,1038780.475,1541530.22,0,0,2769784.54,1125752.457,0,0,0,0,0,0,0,0,1847150.69,740470.9829,0,860930.6108,0,0,6894091.378,1511452.665,1487173.306,0,0,0,0,0,0,0,0,0,1434534.26,0,0,0,0,0,0,1047117.627,0,0,0,1066318.694,631430.158,0,0,4371038.437,0,0,2983541.924,0,3018235.983,5727865.752,913171.7595,688450.9715,4057594.231,1846070.725,5858820.147,0,3335579.104,530093.5237,0,2278975.64,4406611.539,0,0,2475317.648,8437288.266,1062646.748,1007756.642,0,0,504041.878,0,3285088.491,1807719.785,542926.1307,2907853.091,4202075.797,2583894.002,1353023.201,0,0,2176261.227,3698225.351,2299181.552,4448087.266,0,0,2377559.706,0,0,2987885.022,0,2224609.376,707366.3322,2324396.126,0,0,782203.9513,1117877.656,0,1035543.32,0,0,0,2563770.765,1259249.372,1147317.466,2325248.739,0,0,767578.8506,0,0,947394.5038
acetyl-aspartate (N),121232.6928,178830.4587,212994.4784,19066.082,139391.3239,177003.4122,204867.3487,201384.0955,208307.872,104788.6422,125918.9065,302900.9503,111149.2997,275786.6785,181334.8305,161883.1,381725.3631,433041.7755,372160.0109,374815.6485,87712.91171,116843.796,77811.37549,110590.183,40297.42269,130059.1577,33044.10581,157359.0924,104053.1331,151131.1492,165444.8569,92602.64906,85462.41637,98514.94737,100481.2416,156259.4054,79911.0309,100280.3899,134075.1947,145068.2396,100960.3413,112783.8822,142211.7078,98773.27997,99894.67665,74151.20636,37891.97907,245223.3564,154211.1058,191236.7524,249432.9462,128281.2688,100508.6873,83110.64814,109230.4426,163895.6201,141765.7389,117368.1225,92357.17211,65357.28074,62749.16574,96138.83718,71261.25715,46607.7751,126817.8879,44439.99837,28722.53911,50343.04028,80338.93761,60087.21516,99013.78893,64839.42813,29753.74284,47858.09634,153348.4027,38028.64538,111017.6147,65156.36363,45421.6501,60947.69317,44080.81126,92482.74603,14498.03664,70030.81682,111228.6322,89993.10895,97799.69494,112474.3891,82970.23804,77017.1422,60341.08074,130230.5022,136934.5728,93038.19443,60793.1177,99595.28149,49398.86442,146926.6215,17338.65641,161274.3118,147439.7414,224618.6462,91742.98497,57019.76789,185867.8338,246861.7299,146033.3418,197045.2315,91878.34587,112015.5412,112457.2107,179319.1855,106551.1755,245019.5705,210345.1126,242675.2152,217562.757,158836.9333,238038.2873,232851.8912,259056.7327,327153.6685,172431.0503,54965.64104,297561.3299,169738.9547,153387.5218,142962.1304,206516.4588,73468.84024,153992.7792,318179.3148,113035.6157,50001.48365,222584.3255,108657.676,147381.5512,127493.9154,158550.555,38487.39885,291992.4841,67331.76086,0,131802.097,72684.1355,227107.8741,150092.7901,141724.3036,208925.793,351900.6665,337438.3105,170682.4416,210725.0722,189327.1098,0,226752.1528,141425.1715,101657.1625,224296.6612,173904.9872,91873.82959,398143.1791,49567.93547,29225.43203,198892.0506,83603.39724,147148.4047,13556.48618,89310.77582,45792.97008,47800.38384,115389.9395,215399.3596,141720.5439,97282.37304,42674.79219,118534.4421,169130.5445,200488.1869,213528.3293,147882.1646,230920.6151,234424.2023,299609.2384,152600.2105,201084.7459,86953.67129,43680.06889,127154.4785,83770.4055,129553.0977,265693.3627,169788.1105,174692.2565,283411.1116,345588.31,210607.0385,114663.6014,75329.59401,286390.1271,215640.2997,105812.5479,99893.81484,104041.9031,257471.4339,224968.6688
acetyl-carnitine,193121266.9,152731082.2,238192103.9,255775376.5,133264034.3,328983196.4,175423257.9,260817344.6,186722874.6,510420649.6,169649184.9,170668127.8,243802988.6,254249774.9,229235018.5,269649198,440899113.4,270530105.3,231829507.7,331745685,208543075,394031169.7,163086310,321127129.5,228253570.1,161156210.6,192580863,251801292.4,253254998.5,160968173.9,188553865.1,239226372.1,206174671.1,211158858.3,265787445.7,411120724,240325735.7,258403406.7,231681677,226732580.9,222929003.5,542546811.6,266491144.8,358062876.1,294830464.3,373925061,254902144.2,305186359.7,212420442.4,692923368.2,350809764.8,336546942,239765530.2,124509804.6,174188704.3,298535092.5,259475761.5,218153364,380595447.5,380671594.4,260813925.1,281136270.9,291121346.9,281750952.1,267803575.5,298958746.6,149284646.6,187640089.1,165575434.3,163185948.7,240243618.8,243736335.3,116427951.7,113290231.4,140866152.3,263782598.7,266919057,280027569.9,281492934.1,273438553.5,278113927.9,317275774.9,178344489.8,226405284,324745377.1,437103002.1,353601550.6,163489408.7,260110512.8,144273677.7,158925125.9,219023120.1,209096167.8,317844368.8,262094276.1,139061119.6,130667706.3,117206826.8,197719695.4,341803161.3,234711318.8,287332951.1,248006935.7,203890589.7,267447931.6,238907869.7,465164717.8,270623037.7,180195622.1,606374835.8,236214926.3,254382457.5,246839105.9,213499333.6,195972302.3,144708488.4,117235027.3,133385213.8,176704975.8,191064405.2,194140733.8,386709608.4,241355242.2,199579415.8,238900829.1,214351339.3,204216318.3,298004000.6,210544153.5,199014368.3,299070509.3,243324454.3,220434724.6,282422964.5,203285994.6,180129443.3,496324153.3,318853112.1,211667548.4,571871539,207300437.1,371058965.5,585269243.4,361629357.8,278108672.8,458250719.5,481907290.2,588628865.7,279658539,448188012.2,304601815.8,375896480.8,326609316.2,368204840,346034007.1,231566179.9,372049850.4,402276922.3,285917841.4,171466540,304050284.3,271827316,326772404.6,160590940.9,328376135.2,241739482.1,286505644.5,324978342.5,402469789.5,337279427.9,358811075.6,220903924.4,196230611.7,311538982.2,421821568,469591751.9,619090508,209362978.2,180463818.1,327399281.3,278236126,144144647.7,353173988.4,264811729.4,263525136.1,434224938.7,277558526,250786791.3,189882536.2,285430187.8,389487749,165632960.7,206274796.9,190767750.5,181075710.6,303964904.2,492390802.2,344301515.3,178696038.7,626073847.2,293144393.9,117242804.1,163478932.3,216795183.5,166447365.9,221995513.8
acetyl-glutamine,283405.7512,407526.6363,619838.6657,330033.3855,551928.495,319201.9473,286841.2218,346181.7674,911952.0415,434757.2767,620978.5266,527523.4786,568749.1247,313754.4026,391073.8625,412998.2946,443989.0265,400948.7153,619816.8963,374135.2228,618979.4088,402521.7255,674224.0914,266850.2044,377695.2181,632426.0419,543150.1134,196255.3022,438883.8173,497944.804,459743.5115,615158.4225,424709.6412,249632.6704,330461.218,236265.8262,894154.296,214304.114,150308.6819,455485.5037,198788.3431,424059.8978,281784.1157,117262.0901,48642.68556,272318.4883,176311.0011,370076.043,254710.0858,62114.91599,402454.3563,509363.9777,374914.6004,252751.0296,208484.229,421516.5907,602930.8384,401300.9762,452868.8271,230738.7157,46573.51499,86491.25215,283256.1975,74263.13491,245304.4353,163010.7712,185017.2573,478181.0513,445955.1785,86128.02069,267130.1823,56777.80174,193213.3888,210191.6229,72583.8534,142240.4448,379001.8577,247221.1911,191026.7588,601475.611,640413.9178,360003.0657,853697.5018,360137.6421,967477.0915,491501.5057,654197.2135,510510.0729,701937.9906,427900.0992,413726.6095,927376.644,1009180.704,436999.2565,720559.8195,641257.7984,726633.6826,288810.5527,872365.6017,820432.5248,365789.6731,612717.6022,383753.0425,1066749.263,395434.2038,320898.4727,424417.7437,563489.5899,557355.0251,485159.6888,314085.2227,762736.6988,605778.7736,435019.1753,1013914.268,510931.5788,613538.8275,479506.9625,375911.8812,474698.8654,413882.5262,600145.6099,595010.287,677381.4811,352629.776,517214.7607,913184.0745,911787.1419,420571.4394,401642.6561,986218.0601,783366.1072,671454.8147,1068881.745,819143.7742,480264.6572,435756.4641,736326.998,663721.2336,572055.4668,863651.2491,763185.3227,668792.9327,692836.9473,438907.7709,480393.5944,775735.0644,713911.9437,575595.5904,432679.3227,1408655.027,596851.2361,783103.4591,882066.4149,1234694.18,1347361.044,358960.3579,700583.8403,948370.6882,627417.9096,554933.2625,396718.9752,486440.9621,845630.4475,751498.7278,1271435.611,662873.1351,679585.7316,526895.669,546901.0321,469738.5321,917809.7445,737570.713,743031.9867,769027.5853,953568.5047,612642.6865,1382496.533,728043.4234,1177028.976,915005.2796,1718804.152,1575817.409,1188068.954,687755.432,984323.2711,575268.2194,1489829.151,141422.4468,70705.25203,34226.29571,169698.9372,122677.801,103206.5947,132672.1837,134282.8676,111148.488,79741.93273,117313.3303,58602.16951,66172.01281,37053.22445,56089.58839,56766.47311,41367.71556,68530.75694
